ann_name,accuracy
dnn_huConv,0.9577
dnn_conv,0.9612
cnn2,0.9545
dnn_conv2,0.9672
cnn1,0.9613
dnn_huConv,0.9714
dnn_conv,0.9685
cnn2,0.9642
dnn_conv2,0.9717
cnn1,0.9627
dnn_huConv,0.9665
dnn_conv,0.968
cnn2,0.9515
dnn_conv2,0.9635
cnn1,0.9426
dnn_huConv,0.953
dnn_conv,0.9558
cnn2,0.9449
dnn_conv2,0.9589
cnn1,0.9324
dnn_huConv,0.9458
dnn_conv,0.9483
cnn2,0.9652
dnn_conv2,0.9721
cnn1,0.9424
dnn_huConv,0.9557
dnn_conv,0.9552
cnn2,0.9544
dnn_conv2,0.9665
cnn1,0.9529
dnn_huConv,0.9641
dnn_conv,0.9634
cnn2,0.9591
dnn_conv2,0.962
cnn1,0.9161
dnn_huConv,0.9367
dnn_conv,0.9379
cnn2,0.9634
dnn_conv2,0.9706
cnn1,0.9534
dnn_huConv,0.9663
dnn_conv,0.965
cnn2,0.9573
dnn_conv2,0.9679
cnn1,0.9519
dnn_huConv,0.965
dnn_conv,0.9673
cnn2,0.9672
dnn_conv2,0.9672
cnn1,0.959
dnn_huConv,0.9633
dnn_conv,0.9644
cnn2,0.9543
dnn_conv2,0.9702
cnn1,0.9612
dnn_huConv,0.968
dnn_conv,0.9685
cnn2,0.9669
dnn_conv2,0.9697
cnn1,0.9562
dnn_huConv,0.9606
dnn_conv,0.9633
cnn2,0.9665
dnn_conv2,0.9725
cnn1,0.9463
dnn_huConv,0.9628
dnn_conv,0.9604
cnn2,0.9555
dnn_conv2,0.9641
cnn1,0.9553
dnn_huConv,0.9627
dnn_conv,0.9644
cnn2,0.9589
dnn_conv2,0.9704
cnn1,0.9626
dnn_huConv,0.9679
dnn_conv,0.9723
cnn2,0.9628
dnn_conv2,0.9728
cnn1,0.9518
dnn_huConv,0.9584
dnn_conv,0.9597
cnn2,0.9608
dnn_conv2,0.9716
cnn1,0.9526
dnn_huConv,0.9626
dnn_conv,0.9647
cnn2,0.9643
dnn_conv2,0.971
cnn1,0.9607
dnn_huConv,0.9709
dnn_conv,0.9719
cnn2,0.9595
dnn_conv2,0.9719
cnn1,0.9564
dnn_huConv,0.9644
dnn_conv,0.9654
cnn2,0.9676
dnn_conv2,0.9724
cnn1,0.9578
dnn_huConv,0.9699
dnn_conv,0.9684
cnn2,0.9581
dnn_conv2,0.9693
cnn1,0.9327
dnn_huConv,0.9507
dnn_conv,0.9392
cnn2,0.9638
dnn_conv2,0.9699
cnn1,0.9642
dnn_huConv,0.9705
dnn_conv,0.9699
cnn2,0.9616
dnn_conv2,0.9645
cnn1,0.9494
dnn_huConv,0.9646
dnn_conv,0.9663
cnn2,0.9584
dnn_conv2,0.9634
cnn1,0.9535
dnn_huConv,0.9611
dnn_conv,0.9624
cnn2,0.9641
dnn_conv2,0.9722
cnn1,0.9572
dnn_huConv,0.9638
dnn_conv,0.9644
cnn2,0.9633
dnn_conv2,0.9699
cnn1,0.964
dnn_huConv,0.9696
dnn_conv,0.9703
cnn2,0.9696
dnn_conv2,0.9753
cnn1,0.9579
dnn_huConv,0.9704
dnn_conv,0.9717
cnn2,0.9652
dnn_conv2,0.972
cnn1,0.9515
dnn_huConv,0.9623
dnn_conv,0.958
cnn2,0.9567
dnn_conv2,0.964
cnn1,0.9634
dnn_huConv,0.9709
dnn_conv,0.9715
cnn2,0.9586
dnn_conv2,0.973
cnn1,0.9627
dnn_huConv,0.9686
dnn_conv,0.9622
cnn2,0.9649
dnn_conv2,0.9739
cnn1,0.954
dnn_huConv,0.9614
dnn_conv,0.9656
cnn2,0.9466
dnn_conv2,0.9551
cnn1,0.9532
dnn_huConv,0.9664
dnn_conv,0.9655
cnn2,0.959
dnn_conv2,0.9702
cnn1,0.967
dnn_huConv,0.9713
dnn_conv,0.9733
cnn2,0.9615
dnn_conv2,0.9709
cnn1,0.9584
dnn_huConv,0.9649
dnn_conv,0.9654
cnn2,0.9633
dnn_conv2,0.9703
cnn1,0.9621
dnn_huConv,0.9675
dnn_conv,0.9654
cnn2,0.9498
dnn_conv2,0.9673
cnn1,0.9639
dnn_huConv,0.9698
dnn_conv,0.9698
cnn2,0.8945
dnn_conv2,0.9429
cnn1,0.963
dnn_huConv,0.9697
dnn_conv,0.9701
cnn2,0.9662
dnn_conv2,0.9727
cnn1,0.9594
dnn_huConv,0.9712
dnn_conv,0.9738
cnn2,0.9654
dnn_conv2,0.9746
cnn1,0.9568
dnn_huConv,0.9596
dnn_conv,0.9663
cnn2,0.9595
dnn_conv2,0.9711
cnn1,0.9273
dnn_huConv,0.9582
dnn_conv,0.9541
cnn2,0.9677
dnn_conv2,0.9739
cnn1,0.9483
dnn_huConv,0.9583
dnn_conv,0.9587
cnn2,0.9622
dnn_conv2,0.9716
cnn1,0.9529
dnn_huConv,0.9655
dnn_conv,0.9558
cnn2,0.962
dnn_conv2,0.9739
cnn1,0.9526
dnn_huConv,0.963
dnn_conv,0.9644
cnn2,0.9432
dnn_conv2,0.957
cnn1,0.9524
dnn_huConv,0.9604
dnn_conv,0.9632
cnn2,0.9633
dnn_conv2,0.9703
cnn1,0.9401
dnn_huConv,0.9538
dnn_conv,0.9564
cnn2,0.9581
dnn_conv2,0.9688
cnn1,0.9202
dnn_huConv,0.9408
dnn_conv,0.9393
cnn2,0.9648
dnn_conv2,0.9702
cnn1,0.9582
dnn_huConv,0.9625
dnn_conv,0.9634
cnn2,0.9605
dnn_conv2,0.9657
cnn1,0.9555
dnn_huConv,0.9584
dnn_conv,0.9612
cnn2,0.961
dnn_conv2,0.9676
cnn1,0.9587
dnn_huConv,0.9627
dnn_conv,0.9623
cnn2,0.962
dnn_conv2,0.9728
